Phase,Step,Tokens,VRAM_MB
Generate,1394,36941,20689.6
Generate,1396,36943,20689.7
Generate,1398,36945,20689.8
Generate,1400,36947,20689.9
Generate,1402,36949,20690.0
Generate,1404,36951,20690.1
Generate,1406,36953,20690.2
Generate,1408,36955,20690.3
Generate,1410,36957,20690.5
Generate,1412,36959,20690.6
Generate,1414,36961,20690.7
Generate,1416,36963,20690.8
Generate,1418,36965,20690.9
Generate,1420,36967,20691.0
Generate,1422,36969,20691.1
Generate,1424,36971,20691.2
Generate,1426,36973,20691.3
Generate,1428,36975,20691.4
Generate,1430,36977,20691.5
Generate,1432,36979,20691.7
Generate,1434,36981,20691.8
Generate,1436,36983,20691.9
Generate,1438,36985,20692.0
Generate,1440,36987,20692.1
Generate,1442,36989,20692.2
Generate,1444,36991,20692.3
Generate,1446,36993,20692.4
Generate,1448,36995,20692.5
Generate,1450,36997,20692.6
Generate,1452,36999,20692.8
Generate,1454,1,18921.0
Generate,1456,36929,20688.9
Generate,1458,36922,20688.5
Generate,1460,36924,20688.6
Generate,1462,36926,20688.7
Generate,1464,36928,20688.8
Generate,1466,36930,20689.0
Generate,1468,36932,20689.1
Generate,1470,36934,20689.2
Generate,1472,1,18920.9
Generate,1474,36923,20688.6
Generate,1476,36925,20688.7
Generate,1478,36927,20688.8
Generate,1480,36929,20688.9
Generate,1482,36931,20689.0
Generate,1484,36933,20689.1
Generate,1486,36935,20689.2
Generate,1488,36937,20689.3
Generate,1490,36939,20689.5
Generate,1492,36941,20689.6
Generate,1494,36943,20689.7
Generate,1496,36945,20689.8
Generate,1498,36947,20689.9
Generate,1500,36949,20690.0
Generate,1502,36951,20690.1
Generate,1504,36953,20690.2
Generate,1506,36955,20690.3
Generate,1508,36957,20690.4
Generate,1510,36959,20690.5
Generate,1512,36961,20690.7
Generate,1514,1,18920.9
Generate,1516,36922,20688.5
Generate,1518,36918,20688.3
Generate,1520,1,18920.9
Generate,1522,36919,20688.3
Generate,1524,36921,20688.4
Generate,1526,36923,20688.5
Generate,1528,36925,20688.7
Generate,1530,36927,20688.8
Generate,1532,36929,20688.9
Generate,1534,36931,20689.0
Generate,1536,36933,20689.1
Generate,1538,36935,20689.2
Generate,1540,36937,20689.3
Generate,1542,36939,20689.4
Generate,1544,36941,20689.5
Generate,1546,36943,20689.6
Generate,1548,36945,20689.8
Generate,1550,36947,20689.9
Generate,1552,36949,20690.0
Generate,1554,36951,20690.1
Generate,1556,36953,20690.2
Generate,1558,36955,20690.3
Generate,1560,36957,20690.4
Generate,1562,36959,20690.5
Generate,1564,36961,20690.6
Generate,1566,36963,20690.7
Generate,1568,36965,20690.8
Generate,1570,36967,20691.0
Generate,1572,36969,20691.1
Generate,1574,36971,20691.2
Generate,1576,36973,20691.3
Generate,1578,1,18920.8
Generate,1580,36913,20688.0
Generate,1582,36915,20688.1
Generate,1584,36917,20688.2
Generate,1586,36919,20688.3
Generate,1588,36921,20688.4
Generate,1590,36923,20688.5
Generate,1592,36925,20688.6
Generate,1594,36927,20688.7
Generate,1596,36929,20688.8
Generate,1598,36931,20688.9
Generate,1600,36933,20689.1
Generate,1602,36921,20688.5
Generate,1604,36923,20688.6
Generate,1606,36925,20688.7
Generate,1608,36927,20688.8
Generate,1610,36929,20688.9
Generate,1612,36931,20689.0
Generate,1614,36933,20689.1
Generate,1616,1,18920.8
Generate,1618,36917,20688.2
Generate,1620,36919,20688.3
Generate,1622,36921,20688.4
Generate,1624,36923,20688.5
Generate,1626,36925,20688.6
Generate,1628,36927,20688.8
Generate,1630,36929,20688.9
Generate,1632,36931,20689.0
Generate,1634,36933,20689.1
Generate,1636,36935,20689.2
Generate,1638,36937,20689.3
Generate,1640,36939,20689.4
Generate,1642,36941,20689.5
Generate,1644,36943,20689.6
Generate,1646,36945,20689.7
Generate,1648,36947,20689.8
Generate,1650,1,18920.8
Generate,1652,36916,20688.1
Generate,1654,36918,20688.3
Generate,1656,36920,20688.4
Generate,1658,36922,20688.5
Generate,1660,36924,20688.6
Generate,1662,36926,20688.7
Generate,1664,36928,20688.8
Generate,1666,36930,20688.9
Generate,1668,36932,20689.0
Generate,1670,36934,20689.1
Generate,1672,36936,20689.2
Generate,1674,36938,20689.3
Generate,1676,36940,20689.5
Generate,1678,36942,20689.6
Generate,1680,36944,20689.7
Generate,1682,36946,20689.8
Generate,1684,36948,20689.9
Generate,1686,36950,20690.0
Generate,1688,36952,20690.1
Generate,1690,36954,20690.2
Generate,1692,36956,20690.3
Generate,1694,36958,20690.4
Generate,1696,1,18920.9
Generate,1698,36923,20688.6
Generate,1700,36926,20688.8
Generate,1702,1,18920.8
Generate,1704,36913,20688.0
Generate,1706,36907,20687.6
Generate,1708,36909,20687.7
Generate,1710,36911,20687.8
Generate,1712,36913,20687.9
Generate,1714,36915,20688.0
Generate,1716,36917,20688.1
Generate,1718,36919,20688.3
Generate,1720,36921,20688.4
Generate,1722,36923,20688.5
Generate,1724,36925,20688.6
Generate,1726,36907,20687.6
Generate,1728,36909,20687.7
Generate,1730,36911,20687.8
Generate,1732,36913,20687.9
Generate,1734,36915,20688.0
Generate,1736,36917,20688.1
Generate,1738,36919,20688.3
Generate,1740,36921,20688.4
Generate,1742,36923,20688.5
Generate,1744,36925,20688.6
Generate,1746,36927,20688.7
Generate,1748,36929,20688.8
Generate,1750,36931,20688.9
Generate,1752,36933,20689.0
Generate,1754,36935,20689.1
Generate,1756,36937,20689.2
Generate,1758,36939,20689.3
Generate,1760,36941,20689.5
Generate,1762,36943,20689.6
Generate,1764,36945,20689.7
Generate,1766,36947,20689.8
Generate,1768,36949,20689.9
Generate,1770,36951,20690.0
Generate,1772,36953,20690.1
Generate,1774,36907,20687.6
Generate,1776,36909,20687.7
Generate,1778,36911,20687.8
Generate,1780,36913,20687.9
Generate,1782,36907,20687.6
Generate,1784,36909,20687.7
Generate,1786,36911,20687.8
Generate,1788,36913,20687.9
Generate,1790,36915,20688.0
Generate,1792,36917,20688.1
Generate,1794,36919,20688.3
Generate,1796,36921,20688.4
Generate,1798,36923,20688.5
Generate,1800,36925,20688.6
Generate,1802,36927,20688.7
Generate,1804,36929,20688.8
Generate,1806,36931,20688.9
Generate,1808,36933,20689.0
Generate,1810,36935,20689.1
Generate,1812,36937,20689.2
Generate,1814,36939,20689.3
Generate,1816,36941,20689.5
Generate,1818,36943,20689.6
Generate,1820,36945,20689.7
Generate,1822,36947,20689.8
Generate,1824,36949,20689.9
Generate,1826,36951,20690.0
Generate,1828,36953,20690.1
Generate,1830,36955,20690.2
Generate,1832,36957,20690.3
Generate,1834,36959,20690.4
Generate,1836,36961,20690.6
Generate,1838,36963,20690.7
Generate,1840,36965,20690.8
Generate,1842,36967,20690.9
Generate,1844,36969,20691.0
Generate,1846,36971,20691.1
Generate,1848,36973,20691.2
Generate,1850,36975,20691.3
Generate,1852,36977,20691.4
Generate,1854,36979,20691.5
Generate,1856,36981,20691.6
Generate,1858,36983,20691.8
Generate,1860,36985,20691.9
Generate,1862,36987,20692.0
Generate,1864,36989,20692.1
Generate,1866,36991,20692.2
Generate,1868,36993,20692.3
Generate,1870,36995,20692.4
Generate,1872,36997,20692.5
Generate,1874,36999,20692.6
Generate,1876,37001,20692.7
Generate,1878,37003,20692.8
Generate,1880,37005,20693.0
Generate,1882,37007,20693.5
Generate,1884,37009,20693.4
Generate,1886,37011,20693.4
Generate,1888,37013,20693.4
Generate,1890,37015,20693.5
Generate,1892,37017,20693.6
Generate,1894,1,18920.7
Generate,1896,36908,20687.7
Generate,1898,36910,20687.8
Generate,1900,36912,20687.9
Generate,1902,36914,20688.0
Generate,1904,36916,20688.1
Generate,1906,36918,20688.2
Generate,1908,36920,20688.3
Generate,1910,36922,20688.4
Generate,1912,36924,20688.5
Generate,1914,36926,20688.6
Generate,1916,36928,20688.7
Generate,1918,36930,20688.9
Generate,1920,36932,20689.0
Generate,1922,36934,20689.1
Generate,1924,36936,20689.2
Generate,1926,36938,20689.3
